         10991207 function calls (10957755 primitive calls) in 128.270 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     5652   66.078    0.012   66.078    0.012 {method 'readsignal' of 'pyedflib._extensions._pyedflib.CyEdfReader' objects}
     9963   18.865    0.002   18.865    0.002 {built-in method numpy.array}
      165   15.982    0.097   34.455    0.209 data_loader.py:112(montage_HUP_1020)
      165   11.317    0.069   20.370    0.123 data_loader.py:156(__init__)
     2970    6.212    0.002    6.212    0.002 {pandas._libs.lib.infer_datetimelike_array}
      165    1.867    0.011    1.867    0.011 {pandas._libs.algos.take_2d_axis0_object_object}
     4027    1.704    0.000    1.704    0.000 {built-in method numpy.empty}
      165    1.305    0.008    2.226    0.013 managers.py:2305(_stack_arrays)
      165    0.689    0.004    3.445    0.021 data_loader.py:168(column_subsection)
   227322    0.389    0.000    2.167    0.000 edfreader.py:147(getSignalHeader)
   923913    0.308    0.000    0.308    0.000 {method 'decode' of 'bytes' objects}
     5652    0.285    0.000    0.285    0.000 {built-in method numpy.zeros}
   923892    0.213    0.000    0.566    0.000 edfreader.py:126(_convert_string)
      166    0.186    0.001   69.579    0.419 highlevel.py:316(read_edf)
   454644    0.127    0.000    0.208    0.000 edfreader.py:420(getSampleFrequency)
   227322    0.125    0.000    0.323    0.000 edfreader.py:488(getPrefilter)
   227322    0.121    0.000    0.313    0.000 edfreader.py:464(getLabel)
   227322    0.121    0.000    0.289    0.000 edfreader.py:632(getTransducer)
   227322    0.118    0.000    0.301    0.000 edfreader.py:655(getPhysicalDimension)
1277049/1265250    0.094    0.000    0.145    0.000 {built-in method builtins.isinstance}
   454644    0.080    0.000    0.080    0.000 {method 'samplefrequency' of 'pyedflib._extensions._pyedflib.CyEdfReader' objects}
   912588    0.080    0.000    0.080    0.000 {method 'rstrip' of 'bytes' objects}
     5817    0.077    0.000    2.265    0.000 edfreader.py:166(getSignalHeaders)
   227322    0.070    0.000    0.089    0.000 edfreader.py:512(getPhysicalMaximum)
      166    0.068    0.000   69.769    0.420 data_loader.py:24(load_edf)
   227322    0.068    0.000    0.086    0.000 edfreader.py:542(getPhysicalMinimum)
      495    0.067    0.000    8.850    0.018 frame.py:609(__init__)
   227322    0.067    0.000    0.086    0.000 edfreader.py:572(getDigitalMaximum)
      330    0.065    0.000    0.065    0.000 {method 'fill' of 'numpy.ndarray' objects}
   227322    0.064    0.000    0.084    0.000 edfreader.py:602(getDigitalMinimum)
     5652    0.043    0.000    0.056    0.000 edfreader.py:89(<listcomp>)
     5652    0.029    0.000    0.029    0.000 {pandas._libs.ops.scalar_compare}
     5543    0.029    0.000    0.180    0.000 frame.py:3758(__getitem__)
   238626    0.028    0.000    0.028    0.000 {method 'signal_label' of 'pyedflib._extensions._pyedflib.CyEdfReader' objects}
   227322    0.027    0.000    0.027    0.000 {method 'prefilter' of 'pyedflib._extensions._pyedflib.CyEdfReader' objects}
     5652    0.026    0.000    0.159    0.000 base.py:6941(_cmp_method)
   227322    0.026    0.000    0.026    0.000 {method 'transducer' of 'pyedflib._extensions._pyedflib.CyEdfReader' objects}
      165    0.026    0.000    0.120    0.001 highlevel.py:538(read_edf_header)
   227322    0.025    0.000    0.025    0.000 {method 'physical_dimension' of 'pyedflib._extensions._pyedflib.CyEdfReader' objects}
        9    0.025    0.003    0.025    0.003 {built-in method builtins.compile}
    11897    0.022    0.000    0.022    0.000 {built-in method numpy.arange}
   114593    0.022    0.000    0.050    0.000 generic.py:45(_instancecheck)
      165    0.021    0.000    2.224    0.013 highlevel.py:380(<listcomp>)
     1320    0.020    0.000    0.027    0.000 {pandas._libs.lib.maybe_convert_objects}
   114593    0.020    0.000    0.027    0.000 generic.py:40(_check)
     2836    0.019    0.000    0.033    0.000 managers.py:1129(iget)
