         4152454 function calls (4091041 primitive calls) in 5.373 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      159    1.925    0.012    1.925    0.012 {method 'readsignal' of 'pyedflib._extensions._pyedflib.CyEdfReader' objects}
      165    0.406    0.002    0.408    0.002 {built-in method _imp.create_dynamic}
      659    0.258    0.000    0.258    0.000 {built-in method numpy.array}
        5    0.200    0.040    0.416    0.083 channel_montage.py:47(montage_HUP_1020)
     1434    0.192    0.000    0.192    0.000 {method 'read' of '_io.BufferedReader' objects}
     8171    0.127    0.000    0.127    0.000 {built-in method posix.stat}
     1424    0.127    0.000    0.127    0.000 {built-in method io.open_code}
     1422    0.108    0.000    0.108    0.000 {built-in method marshal.loads}
        5    0.108    0.022    0.223    0.045 dataframe_manager.py:18(__init__)
    23732    0.090    0.000    0.149    0.000 tokenize.py:429(_tokenize)
        4    0.088    0.022    0.088    0.022 {method 'read' of '_io.TextIOWrapper' objects}
       54    0.078    0.001    0.078    0.001 {pandas._libs.lib.infer_datetimelike_array}
    27266    0.047    0.000    0.047    0.000 {built-in method posix.lstat}
   113118    0.042    0.000    0.081    0.000 ast.py:256(iter_child_nodes)
   132672    0.040    0.000    0.040    0.000 {method 'match' of 're.Pattern' objects}
      189    0.035    0.000    0.035    0.000 {built-in method builtins.compile}
   1967/1    0.034    0.000    5.383    5.383 {built-in method builtins.exec}
2480/2440    0.034    0.000    0.104    0.000 {built-in method builtins.__build_class__}
    11499    0.030    0.000    0.082    0.000 mark_tokens.py:109(_expand_to_matching_pairs)
   115190    0.030    0.000    0.047    0.000 asttokens.py:168(token_range)
461795/461068    0.029    0.000    0.033    0.000 {built-in method builtins.isinstance}
   196726    0.028    0.000    0.035    0.000 ast.py:244(iter_fields)
      164    0.026    0.000    0.026    0.000 {built-in method numpy.zeros}
    27852    0.023    0.000    0.037    0.000 posixpath.py:71(join)
    51230    0.023    0.000    0.038    0.000 line_numbers.py:50(line_to_offset)
     1621    0.021    0.000    0.021    0.000 __init__.py:89(find_spec)
   203016    0.020    0.000    0.038    0.000 {built-in method builtins.getattr}
    42478    0.018    0.000    0.066    0.000 util.py:96(iter_children_ast)
    20761    0.018    0.000    0.192    0.000 asttokens.py:79(_generate_tokens)
      324    0.018    0.000    0.018    0.000 {built-in method numpy.empty}
   116700    0.018    0.000    0.018    0.000 util.py:63(is_non_coding_token)
     2257    0.018    0.000    0.117    0.000 posixpath.py:397(_joinrealpath)
        5    0.017    0.003    0.269    0.054 util.py:166(visit_tree)
        4    0.017    0.004    0.017    0.004 {built-in method _posixsubprocess.fork_exec}
    10095    0.017    0.000    0.154    0.000 mark_tokens.py:63(_visit_after_children)
      389    0.017    0.000    0.044    0.000 doccer.py:13(docformat)
        3    0.015    0.005    0.015    0.005 {pandas._libs.algos.take_2d_axis0_object_object}
       10    0.015    0.002    0.024    0.002 managers.py:2305(_stack_arrays)
     4520    0.015    0.000    0.022    0.000 posixpath.py:334(normpath)
     2229    0.015    0.000    0.021    0.000 line_numbers.py:44(<listcomp>)
  165/132    0.015    0.000    0.069    0.001 {built-in method _imp.exec_dynamic}
        5    0.014    0.003    0.109    0.022 executing.py:194(__init__)
     1238    0.014    0.000    0.014    0.000 {method 'sub' of 're.Pattern' objects}
     1459    0.012    0.000    0.012    0.000 {method '__exit__' of '_io._IOBase' objects}
    85616    0.011    0.000    0.011    0.000 {built-in method builtins.min}
  14937/5    0.011    0.000    0.030    0.006 ast.py:409(generic_visit)
      663    0.011    0.000    0.011    0.000 {method 'findall' of 're.Pattern' objects}
    51024    0.011    0.000    0.012    0.000 {built-in method __new__ of type object at 0x102a95e10}
      649    0.011    0.000    0.011    0.000 {built-in method torch._C._jit_get_operation}
42321/40351    0.010    0.000    0.368    0.000 {built-in method builtins.hasattr}
   189639    0.010    0.000    0.010    0.000 {method 'append' of 'list' objects}
    22003    0.010    0.000    0.038    0.000 re.py:289(_compile)
    67254    0.010    0.000    0.012    0.000 {built-in method builtins.max}
     3412    0.010    0.000    0.029    0.000 lexer.py:681(get_tokens_unprocessed)
    80221    0.010    0.000    0.010    0.000 {method 'startswith' of 'str' objects}
164049/162689    0.010    0.000    0.010    0.000 {built-in method builtins.len}
     1851    0.009    0.000    0.140    0.000 <frozen importlib._bootstrap_external>:1514(find_spec)
     5220    0.009    0.000    0.050    0.000 edfreader.py:147(getSignalHeader)
    27266    0.009    0.000    0.057    0.000 posixpath.py:164(islink)
        4    0.009    0.002    0.009    0.002 {built-in method posix.read}
     9713    0.008    0.000    0.034    0.000 line_numbers.py:35(from_utf8_col)
35589/34324    0.008    0.000    0.025    0.000 {method 'join' of 'str' objects}
      191    0.008    0.000    0.008    0.000 {built-in method posix.listdir}
     1621    0.007    0.000    0.185    0.000 <frozen importlib._bootstrap>:901(_find_spec)
    21425    0.007    0.000    0.007    0.000 {method 'decode' of 'bytes' objects}
      397    0.007    0.000    0.012    0.000 doccer.py:180(indentcount_lines)
     1423    0.007    0.000    0.477    0.000 <frozen importlib._bootstrap_external>:916(get_code)
        5    0.006    0.001    0.033    0.007 dataframe_manager.py:30(column_subsection)
      101    0.006    0.000    0.006    0.000 {built-in method posix.scandir}
     1171    0.006    0.000    0.006    0.000 {built-in method torch._C._get_operation_overload}
