folder,checknum,Test_Sensitivity,Test_NPV
ed77f445,000003,0.0,0.7536764705882353
ed77f445,000009,0.0,0.7720588235294118
ed77f445,000004,0.8448275862068966,0.8333333333333334
ed77f445,000000,1.0,
ed77f445,000007,1.0,
ed77f445,000005,1.0,
ed77f445,000008,0.0,0.7794117647058824
ed77f445,000002,0.0,0.7757352941176471
ed77f445,000006,0.0,0.7573529411764706
ed77f445,000001,0.984375,0.9411764705882353
859daefd,000008,0.31666666666666665,0.7897435897435897
859daefd,000002,0.3770491803278688,0.7777777777777778
859daefd,000005,0.05454545454545454,0.7911646586345381
859daefd,000001,0.375,0.738562091503268
859daefd,000006,0.5303030303030303,0.7075471698113207
859daefd,000004,0.3275862068965517,0.7880434782608695
859daefd,000003,0.6716417910447762,0.8
859daefd,000009,0.8548387096774194,0.7352941176470589
859daefd,000007,0.7833333333333333,0.8712871287128713
859daefd,000000,0.42592592592592593,0.837696335078534
7ca3676d,000001,0.71875,0.8085106382978723
7ca3676d,000006,0.0,0.7573529411764706
7ca3676d,000002,1.0,
7ca3676d,000008,0.0,0.7794117647058824
7ca3676d,000005,0.0,0.7977941176470589
7ca3676d,000007,0.0,0.7794117647058824
7ca3676d,000000,0.2222222222222222,0.8257261410788381
7ca3676d,000004,0.0,0.7867647058823529
7ca3676d,000009,0.0,0.7720588235294118
7ca3676d,000003,0.0,0.7536764705882353
dacad4cc,000001,0.015625,0.7666666666666667
dacad4cc,000006,0.0,0.7573529411764706
dacad4cc,000002,0.0,0.7757352941176471
dacad4cc,000008,0.7666666666666667,0.8333333333333334
dacad4cc,000005,0.0,0.7977941176470589
dacad4cc,000007,0.0,0.7794117647058824
dacad4cc,000000,0.0,0.8014705882352942
dacad4cc,000004,0.034482758620689655,0.7886792452830189
dacad4cc,000009,0.016129032258064516,0.7749077490774908
dacad4cc,000003,0.0,0.7536764705882353
04b6a18c,000007,0.0,0.7794117647058824
04b6a18c,000000,0.0,0.7992565055762082
04b6a18c,000004,0.3620689655172414,0.8131313131313131
04b6a18c,000003,0.8059701492537313,0.7111111111111111
04b6a18c,000009,0.6129032258064516,0.7777777777777778
04b6a18c,000001,0.3125,0.7914691943127962
04b6a18c,000006,0.8636363636363636,0.75
04b6a18c,000008,0.7333333333333333,0.7894736842105263
04b6a18c,000002,0.7868852459016393,0.8115942028985508
04b6a18c,000005,0.41818181818181815,0.7611940298507462
853a4211,000004,0.034482758620689655,0.7846153846153846
